Actual_Close,LSTM_Predicted
18869.587890625,17506.254
19909.57421875,17975.086
20976.298828125,18690.322
20880.798828125,19609.166
21169.6328125,20347.266
21161.51953125,20891.848
20688.78125,21202.014
21086.79296875,21198.62
22676.552734375,21177.97
22777.625,21594.887
22720.416015625,22107.13
22934.431640625,22511.37
22636.46875,22824.787
23117.859375,22930.232
23032.77734375,23062.475
23078.728515625,23144.11
23031.08984375,23200.512
23774.56640625,23220.748
22840.138671875,23437.795
23139.283203125,23404.752
23723.76953125,23375.305
23471.87109375,23521.76
23449.322265625,23624.895
23331.84765625,23679.34
22955.666015625,23665.094
22760.109375,23519.387
23264.291015625,23307.727
22939.3984375,23273.994
21819.0390625,23226.057
21651.18359375,22870.738
21870.875,22450.85
21788.203125,22182.287
21808.1015625,22024.934
22220.8046875,21963.93
24307.841796875,22074.822
23623.474609375,22812.865
24565.6015625,23400.521
24641.27734375,24039.158
24327.642578125,24528.414
24829.1484375,24719.043
24436.353515625,24875.959
24188.84375,24850.006
23947.4921875,24686.727
23198.126953125,24446.303
23175.375,24029.893
23561.212890625,23665.057
23522.87109375,23540.117
23147.353515625,23539.717
23646.55078125,23488.352
23475.466796875,23580.54
22362.6796875,23653.225
22353.349609375,23379.857
22435.513671875,23047.611
22429.7578125,22804.713
22219.76953125,22663.143
21718.080078125,22543.496
20363.021484375,22326.18
20187.244140625,21753.31
20632.41015625,21153.768
22163.94921875,20826.787
24197.533203125,21117.188
24746.07421875,22147.807
24375.9609375,23362.13
25052.7890625,24209.746
27423.9296875,24857.783
26965.87890625,25926.795
28038.67578125,26702.705
27767.236328125,27458.879
28175.81640625,27884.232
27307.4375,28173.756
28333.97265625,28045.81
27493.28515625,28119.812
27494.70703125,27986.648
27994.330078125,27830.39
27139.888671875,27876.771
27268.130859375,27730.416
28348.44140625,27609.635
28033.5625,27876.195
28478.484375,28117.193
28411.03515625,28424.143
28199.30859375,28640.648
27790.220703125,28688.877
28168.08984375,28526.4
28177.984375,28449.496
28044.140625,28428.006
27925.859375,28394.043
27947.794921875,28330.25
28333.05078125,28281.838
29652.98046875,28374.486
30235.05859375,28908.217
30139.052734375,29632.387
30399.06640625,30176.188
30485.69921875,30559.855
30318.49609375,30777.893
30315.35546875,30800.11
29445.044921875,30734.463
30397.552734375,30370.746
28822.6796875,30323.5
28245.98828125,29899.895
27276.91015625,29300.748
27817.5,28522.674
27591.384765625,28099.55
27525.33984375,27874.34
28307.59765625,27785.037
28422.701171875,28025.234
29473.787109375,28354.918
29340.26171875,28950.967
29248.48828125,29416.865
29268.806640625,29653.406
28091.568359375,29722.635
28680.537109375,29319.086
29006.30859375,29046.045
28847.7109375,29002.168
29534.384765625,29011.986
28904.623046875,29263.982
28454.978515625,29330.15
27694.2734375,29167.22
27658.775390625,28726.562
27621.755859375,28307.89
27000.7890625,28015.31
26804.990234375,27672.273
26784.078125,27362.398
26930.638671875,27156.277
27192.693359375,27100.17
27036.650390625,27201.295
27398.802734375,27285.258
26832.208984375,27448.969
26890.12890625,27414.205
27129.5859375,27329.62
26753.826171875,27318.469
26851.27734375,27219.45
27225.7265625,27146.668
26334.818359375,27218.4
26476.20703125,27049.445
26719.291015625,26886.121
26868.353515625,26844.77
28085.646484375,26908.729
27745.884765625,27370.588
27702.349609375,27742.002
27219.658203125,27956.336
26819.97265625,27889.725
27249.58984375,27607.85
27075.12890625,27458.754
27119.06640625,27349.799
25760.09765625,27308.164
27238.783203125,26891.424
26345.998046875,26916.48
26508.216796875,26824.854
26480.375,26776.377
25851.240234375,26749.848
25940.16796875,26549.393
25902.5,26371.07
25918.728515625,26240.57
25124.67578125,26172.941
25576.39453125,25911.268
26327.462890625,25790.518
26510.67578125,25981.55
26336.212890625,26292.98
26851.029296875,26508.5
28327.48828125,26777.578
30027.296875,27433.914
29912.28125,28571.068
30695.46875,29515.025
30548.6953125,30341.51
30480.26171875,30800.736
30271.130859375,30939.635
30688.1640625,30833.613
30086.24609375,30801.26
30445.3515625,30611.916
30477.251953125,30551.96
30590.078125,30577.242
30620.76953125,30675.092
31156.439453125,30788.59
30777.58203125,31054.629
30514.166015625,31172.014
29909.337890625,31114.254
30342.265625,30810.906
30292.541015625,30654.79
30171.234375,30585.611
30414.470703125,30536.691
30620.951171875,30593.594
30391.646484375,30739.906
31476.048828125,30798.701
30334.068359375,31160.584
30295.806640625,31139.404
30249.1328125,30971.316
30145.888671875,30778.223
29856.5625,30600.773
29913.923828125,30392.336
29792.015625,30259.727
29908.744140625,30159.441
29771.802734375,30143.816
30084.5390625,30121.836
29176.916015625,30207.12
29227.390625,30010.988
29354.97265625,29789.828
29210.689453125,29665.121
29319.24609375,29569.281
29356.91796875,29551.363
29275.30859375,29580.758
29230.111328125,29593.11
29675.732421875,29580.25
29151.958984375,29702.986
29178.6796875,29667.693
29074.091796875,29593.6
29042.126953125,29490.941
29041.85546875,29398.65
29180.578125,29339.06
29765.4921875,29355.572
29561.494140625,29583.684
29429.591796875,29755.514
29397.71484375,29811.977
29415.96484375,29794.19
29282.9140625,29756.664
29408.443359375,29679.21
29170.34765625,29651.701
28701.779296875,29575.621
26664.55078125,29357.951
26049.556640625,28513.123
26096.205078125,27515.412
26189.583984375,26782.37
26124.140625,26405.07
26031.65625,26266.62
26431.640625,26242.197
26162.373046875,26394.277
26047.66796875,26485.604
26008.462890625,26489.398
26089.693359375,26439.314
26106.150390625,26400.543
27727.392578125,26376.37
27297.265625,26854.041
25931.47265625,27246.773
25800.724609375,27072.398
25868.798828125,26689.361
25969.56640625,26352.445
25812.416015625,26162.744
25779.982421875,26042.496
25753.236328125,25980.898
26240.1953125,25956.021
25905.654296875,26102.326
25895.677734375,26171.303
25832.2265625,26189.84
25162.654296875,26162.28
25833.34375,25922.264
26228.32421875,25873.412
26539.673828125,26028.041
26608.693359375,26312.941
26568.28125,26587.135
26534.1875,26763.092
26754.28125,26835.232
27211.1171875,26909.197
27132.0078125,27098.443
26567.6328125,27249.953
26579.568359375,27169.326
26579.390625,27028.129
26256.826171875,26904.156
26298.48046875,26727.365
26217.25,26600.28
26352.716796875,26508.078
27021.546875,26501.85
26911.720703125,26736.725
26967.916015625,26962.295
27983.75,27136.873
27530.78515625,27549.78
27429.978515625,27785.025
27799.39453125,27849.719
27415.912109375,27938.062
27946.59765625,27884.197
27968.83984375,27957.895
27935.08984375,28062.572
27583.677734375,28139.557
27391.01953125,28074.234
26873.3203125,27916.102
26756.798828125,27610.758
26862.375,27309.584
26861.70703125,27135.932
27159.65234375,27067.041
28519.466796875,27155.557
28415.748046875,27700.842
28328.341796875,28226.045
28719.806640625,28559.344
29682.94921875,28833.201
29918.412109375,29295.328
29993.896484375,29754.7
33086.234375,30091.463
33901.52734375,31278.22
34502.8203125,32683.54
34156.6484375,33930.484
33909.80078125,34576.496
34089.57421875,34676.535
34538.48046875,34583.812
34502.36328125,34598.516
34667.78125,34639.273
35437.25390625,34745.99
34938.2421875,35121.72
34732.32421875,35304.43
35082.1953125,35294.156
35049.35546875,35343.438
35037.37109375,35388.668
35443.5625,35418.99
