Date,Close,High,Low,Open,Volume,Returns,Volatility,Year,MA7,MA30,MA100,LogReturns,Lag1,Lag2,Lag3
2014-12-25,319.00799560546875,322.6700134277344,316.9580078125,322.2860107421875,9883640.0,-0.01093218393697526,0.029454740024049002,2014,325.2345624651228,351.4234313964844,366.4684094238281,-0.010992379373534256,322.53399658203125,334.5719909667969,331.885986328125
2014-12-26,327.92401123046875,331.42401123046875,316.62701416015625,319.1520080566406,16410500.0,0.027949191706237997,0.030262857344884455,2014,326.6747087751116,350.0752319335937,365.174309387207,0.02756574140127263,319.00799560546875,322.53399658203125,334.5719909667969
2014-12-27,315.8630065917969,328.9110107421875,312.6300048828125,327.5830078125,15185200.0,-0.036779876512901266,0.02978413063733273,2014,324.6614249093192,348.2816650390625,364.08853942871093,-0.03747331232117634,327.92401123046875,319.00799560546875,322.53399658203125
2014-12-28,317.239013671875,320.02801513671875,311.0780029296875,316.1600036621094,11676600.0,0.004356341361166027,0.02830159522283696,2014,324.14657156808033,346.3080657958984,363.31296966552736,0.004346879974207228,315.8630065917969,327.92401123046875,319.00799560546875
2014-12-29,312.6700134277344,320.2669982910156,312.3070068359375,317.70098876953125,12302500.0,-0.014402390775512863,0.023679695932393177,2014,321.4014325823103,344.2140329996745,362.3506298828125,-0.014507111911498326,317.239013671875,315.8630065917969,327.92401123046875
2014-12-30,310.73699951171875,314.8089904785156,309.3729858398437,312.718994140625,12528300.0,-0.006182281104684106,0.022629818961155856,2014,317.9964338030134,341.970366414388,361.4697897338867,-0.0062014705350289445,312.6700134277344,317.239013671875,315.8630065917969
2014-12-31,320.1929931640625,320.1929931640625,310.21099853515625,310.9140014648437,13942900.0,0.030430858466170996,0.023943255228949155,2014,317.66200474330356,340.00196634928386,360.65019958496094,0.029977023965103558,310.73699951171875,312.6700134277344,317.239013671875
2015-01-01,314.2489929199219,320.4349975585937,314.00299072265625,320.4349975585937,8036550.0,-0.01856380486469611,0.02464526553289977,2015,316.9821472167969,337.7664326985677,359.4347796630859,-0.018738274882211695,320.1929931640625,310.73699951171875,312.6700134277344
2015-01-02,315.0320129394531,315.8389892578125,313.56500244140625,314.0790100097656,7860650.0,0.0024917184690256278,0.021137841936314,2015,315.1404331752232,335.7671661376953,358.3530499267578,0.0024886192856885233,314.2489929199219,320.1929931640625,310.73699951171875
2015-01-03,281.0820007324219,315.1499938964844,281.0820007324219,314.84600830078125,33054400.0,-0.10776686435849991,0.043661617929923624,2015,310.17171805245533,332.8164326985677,357.0481298828125,-0.11402781772464736,315.0320129394531,314.2489929199219,320.1929931640625
