Model,RMSE,MAE,MAPE (%)
ARIMA,20892.445552583995,19094.120492428297,28.78489629483963
Prophet,29872.7206653725,29281.494669108695,48.5842398729617
LSTM,1364.698471366591,930.863357035319,2.1088011188630214
